SIGNATURE : 00010001010163 02
SWT_EINTRAG : 0CFD "ALGOPARAM_FRONT_4_SFZ"
SWT_EINTRAG : 0CDE "ALGOPARAM_FRONT_5_SBSL"
SWT_EINTRAG : 0CED "ALGOPARAM_FRONT_5_SBSR"
SWT_EINTRAG : 0CFE "ALGOPARAM_FRONT_5_SFZ"
SWT_EINTRAG : 0CDF "ALGOPARAM_FRONT_6_SBSL"
SWT_EINTRAG : 0CEE "ALGOPARAM_FRONT_6_SBSR"
SWT_EINTRAG : 0CFF "ALGOPARAM_FRONT_6_SFZ"
SWT_EINTRAG : 0CE0 "ALGOPARAM_HECK_1_SBSL"
SWT_EINTRAG : 0CEF "ALGOPARAM_HECK_1_SBSR"
SWT_EINTRAG : 0D00 "ALGOPARAM_HECK_1_SFZ"
SWT_EINTRAG : 0A9B "ALGOPARAM_SASL_1"
SWT_EINTRAG : 0B0B "ALGOPARAM_SASL_EAM"
SWT_EINTRAG : 0A9A "ALGOPARAM_SASR_1"
SWT_EINTRAG : 0B15 "ALGOPARAM_SASR_EAM"
SWT_EINTRAG : 0B16 "ALGOPARAM_SASR_EAM_2"
SWT_EINTRAG : 0A98 "ALGOPARAM_SBSL_1"
SWT_EINTRAG : 0B13 "ALGOPARAM_SBSL_EAM"
SWT_EINTRAG : 0A95 "ALGOPARAM_SBSR_1"
SWT_EINTRAG : 0B14 "ALGOPARAM_SBSR_EAM"
SWT_EINTRAG : 0CE1 "ALGOPARAM_SEITE_L_1_SBSL"
SWT_EINTRAG : 0CF0 "ALGOPARAM_SEITE_L_1_SBSR"
SWT_EINTRAG : 0D01 "ALGOPARAM_SEITE_L_1_SFZ"
SWT_EINTRAG : 0CE2 "ALGOPARAM_SEITE_L_2_SBSL"
SWT_EINTRAG : 0CF1 "ALGOPARAM_SEITE_L_2_SBSR"
SWT_EINTRAG : 0D02 "ALGOPARAM_SEITE_L_2_SFZ"
SWT_EINTRAG : 0CE3 "ALGOPARAM_SEITE_R_1_SBSL"
SWT_EINTRAG : 0CF2 "ALGOPARAM_SEITE_R_1_SBSR"
SWT_EINTRAG : 0D03 "ALGOPARAM_SEITE_R_1_SFZ"
SWT_EINTRAG : 0CE4 "ALGOPARAM_SEITE_R_2_SBSL"
SWT_EINTRAG : 0CF3 "ALGOPARAM_SEITE_R_2_SBSR"
SWT_EINTRAG : 0D04 "ALGOPARAM_SEITE_R_2_SFZ"
SWT_EINTRAG : 0477 "ALGOPARAM_SFZ_1"
SWT_EINTRAG : 0478 "ALGOPARAM_SFZ_2"
SWT_EINTRAG : 0B0D "ALGOPARAM_SIM_EAM"
SWT_EINTRAG : 0A96 "ALGOPARAM_SIM_SAFING"
SWT_EINTRAG : 0A9D "ALGOPARAM_SSBF_1"
SWT_EINTRAG : 0B10 "ALGOPARAM_SSBF_EAM"
SWT_EINTRAG : 0A9C "ALGOPARAM_SSFA_1"
SWT_EINTRAG : 0B0F "ALGOPARAM_SSFA_EAM"
SWT_EINTRAG : 0A99 "ALGOPARAM_SSH_1"
SWT_EINTRAG : 0B0E "ALGOPARAM_SSH_EAM"
SWT_EINTRAG : 0A9F "ALGOPARAM_STVL_1"
SWT_EINTRAG : 0B12 "ALGOPARAM_STVL_EAM"
SWT_EINTRAG : 0A9E "ALGOPARAM_STVR_1"
SWT_EINTRAG : 0B11 "ALGOPARAM_STVR_EAM"
SWT_EINTRAG : 0A94 "ALGOPARAM_SZL_1"
SWT_EINTRAG : 0B0C "ALGOPARAM_SZL_EAM"
SWT_EINTRAG : 0CE5 "ALGOPARAM_UPFRONT_1_SBSL"
SWT_EINTRAG : 0CF4 "ALGOPARAM_UPFRONT_1_SBSR"
SWT_EINTRAG : 0D05 "ALGOPARAM_UPFRONT_1_SFZ"
SWT_EINTRAG : 0CE6 "ALGOPARAM_UPFRONT_2_SBSL"
SWT_EINTRAG : 0CF5 "ALGOPARAM_UPFRONT_2_SBSR"
SWT_EINTRAG : 0D06 "ALGOPARAM_UPFRONT_2_SFZ"
SWT_EINTRAG : 0CE7 "ALGOPARAM_UPFRONT_3_SBSL"
SWT_EINTRAG : 0CF6 "ALGOPARAM_UPFRONT_3_SBSR"
SWT_EINTRAG : 0D07 "ALGOPARAM_UPFRONT_3_SFZ"
SWT_EINTRAG : 0CE8 "ALGOPARAM_UPFRONT_4_SBSL"
SWT_EINTRAG : 0CF7 "ALGOPARAM_UPFRONT_4_SBSR"
SWT_EINTRAG : 0D08 "ALGOPARAM_UPFRONT_4_SFZ"
SWT_EINTRAG : 0D99 "ALIVE_SIGNAL"
SWT_EINTRAG : 14F3 "ALLRAD"
SWT_EINTRAG : 0FA7 "ALTER_NEUER_BEDIENHEBEL"
SWT_EINTRAG : 1468 "ALWR_ENABLE"
SWT_EINTRAG : 015B "AM_SCHLUESSEL"
SWT_EINTRAG : 0AA3 "AMFMTUNER"
SWT_EINTRAG : 0800 "ANALYSE_WG_1"
SWT_EINTRAG : 0801 "ANALYSE_WG_2"
